Item,Category,Calories_per_100g,Protein_g,Carbs_g,Fat_g,Taste_Rasa,Virya,Vipaka,Dosha_Effects
North Indian South Indian Rajasthani Paneer,dairy,247,16.3,70.8,46.5,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Assamese Nutmeg,spice,444,1.1,40.2,11.8,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Bengali North Indian Coconut oil,oil,103,7.5,2.3,46.5,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Bengali North Indian Black gram,legumes,363,15.8,11,14.3,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Kashmiri Samosa,snack,262,6,31,14,Mixed,Heating,Pungent,Increases Kapha and Pitta
North Indian Cashew,nuts_seeds,503,13.9,11.1,35.3,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Assamese Kashmiri Hyderabadi Urad dal,legumes,479,12.3,72.5,1,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
South Indian Pineapple,fruit,240,16.7,43.9,36.4,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Assamese Hyderabadi Rice (white),grains,560,8.5,62.1,11.9,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
South Indian Assamese Kashmiri Hyderabadi Urad dal,legumes,144,1,33.6,39.7,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Punjabi Papaya,fruit,488,1.3,66.9,25,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Maharashtrian Mustard seed,spice,568,0.3,41.2,12.1,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Kashmiri Gujarati Nutmeg,spice,167,5.8,0.1,17.6,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Maharashtrian Carom seed (ajwain),spice,446,3.7,53.5,26.2,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Bengali Curd (yogurt),dairy,389,1.4,42.1,25.4,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
South Indian Hyderabadi Peanut (groundnut),nuts_seeds,539,11.1,31.2,23.5,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Gujarati Assamese Pineapple,fruit,416,19.6,20.3,0.8,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Kashmiri North Indian Orange,fruit,89,6.9,58.6,31.4,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Maharashtrian Idli,snack,360,2.7,28.2,16.9,Mixed,Heating,Pungent,Increases Kapha and Pitta
Assamese Maharashtrian North Indian Lemon water,beverage,199,16.6,54.8,49,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Kashmiri Gujarati Assamese Tender coconut water,beverage,510,12.6,64.9,3.2,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Punjabi Turmeric (haldi),spice,312,9.7,67.1,3.3,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Punjabi Poha,snack,488,0.7,16.1,39.6,Mixed,Heating,Pungent,Increases Kapha and Pitta
Hyderabadi Milk (cow),dairy,60,3.2,5,3.3,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Assamese Punjabi Assamese Cashew,nuts_seeds,62,6.3,24.8,19.9,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Rajasthani Curd (yogurt),dairy,576,9.5,2.9,32.3,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
South Indian Milk (cow),dairy,60,3.2,5,3.3,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Kashmiri Maharashtrian Cumin (jeera),spice,312,7.1,62.5,43.3,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Assamese Assamese Fenugreek seed,spice,359,5.5,63.9,21.8,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
South Indian Cumin (jeera),spice,375,17.8,44.2,22.3,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
North Indian Maharashtrian Punjabi Idli,snack,429,14.9,71.6,19.3,Mixed,Heating,Pungent,Increases Kapha and Pitta
Bengali South Indian Assamese Kashmiri Hyderabadi Urad dal,legumes,211,9.9,39.8,46.2,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Hyderabadi Ghee,dairy,551,5.3,6.6,21.2,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Punjabi Ghee,dairy,460,12,65.8,27.3,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
North Indian Bengali Hyderabadi Peanut (groundnut),nuts_seeds,348,2.1,26.2,14.8,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Hyderabadi Punjabi Ghee,dairy,476,12.1,34.1,34.5,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Hyderabadi Cashew,nuts_seeds,379,8.9,58.1,45.6,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
South Indian Assamese North Indian Punjabi Mustard greens (sarson),vegetable,465,5.5,78.4,47.4,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
North Indian Gujarati Rice (white),grains,96,13.4,32.5,25.7,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Hyderabadi Rajasthani Hyderabadi Peanut (groundnut),nuts_seeds,183,19.1,11.4,30.4,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Assamese Rajasthani South Indian Brinjal (eggplant),vegetable,468,0.7,5.4,38.9,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Gujarati Jalebi,sweet,395,7.2,76,1.6,Sweet,Heating,Sweet,Increases Kapha and Pitta
Rajasthani Star anise,spice,177,13.6,75.9,18.6,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Gujarati Curry leaf powder,spice,98,11.5,42.4,19.9,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Bengali Hyderabadi Saffron,spice,305,5,9.1,36.8,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Gujarati Hyderabadi Curry leaf powder,spice,531,10.4,73.1,5.9,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Rajasthani Rajasthani Kashmiri Hyderabadi Urad dal,legumes,286,14.1,17.2,30.6,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
North Indian South Indian Cumin (jeera),spice,522,4,10.9,3.7,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Kashmiri Bajra (pearl millet),grains,196,18,35.6,4.4,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
North Indian Cinnamon,spice,347,13.4,56.8,27.5,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Assamese North Indian Nutmeg,spice,317,17.8,68.1,35.6,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Bengali Gujarati South Indian Brinjal (eggplant),vegetable,198,15.9,40.7,6.1,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
North Indian Maharashtrian North Indian Lemon water,beverage,225,15.8,18.9,24.7,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Rajasthani Rajasthani Tamarind,spice,389,11.1,29.5,40.2,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Bengali Bengali Dry ginger,spice,584,2.6,70.7,3.3,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Assamese Gujarati Assamese Pineapple,fruit,427,20,57.5,26.3,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Hyderabadi North Indian Wheat (atta),grains,439,16.5,5.9,48.6,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Assamese Bajra (pearl millet),grains,95,9,54.4,17.2,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
North Indian Assamese Peanut (groundnut),nuts_seeds,584,12.8,14.6,48.3,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Gujarati Coconut oil,oil,463,10.1,69.5,41.6,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
North Indian Dry red chilli,spice,550,3.1,13.2,16.1,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Gujarati Gulab jamun,sweet,310,6,40,12,Sweet,Heating,Sweet,Increases Kapha and Pitta
Hyderabadi Rajasthani South Indian Brinjal (eggplant),vegetable,250,6.9,75.3,44.7,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Rajasthani Rajasthani Hyderabadi Peanut (groundnut),nuts_seeds,100,5,50.8,27.5,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Gujarati Maharashtrian Gujarati Jowar (sorghum),grains,148,12.5,49.2,4.7,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Kashmiri Assamese North Indian Nutmeg,spice,192,11.8,46.5,8.6,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
South Indian Assamese Fenugreek seed,spice,365,16.9,45.1,41.3,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Maharashtrian Clove,spice,49,1.6,75.9,38.6,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
South Indian Assamese Cashew,nuts_seeds,291,13,61.4,20.8,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Rajasthani Rice (brown),grains,51,10,50.2,14.5,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Gujarati Flaxseed,nuts_seeds,329,9.7,64.4,34.2,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Assamese Punjabi Papaya,fruit,324,9.1,55.1,7.9,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Bengali Potato,vegetable,445,9.7,16.3,30.3,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
South Indian Assamese Punjabi Papaya,fruit,340,17.2,25.5,49.4,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Hyderabadi Punjabi Maharashtrian Paneer,dairy,373,19.5,10.5,18.5,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Bengali Hyderabadi Punjabi Maharashtrian Paneer,dairy,595,2.1,19.3,6.1,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Bengali Kashmiri Gujarati Nutmeg,spice,480,5,7.7,14.5,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Gujarati Mango (ripe),fruit,413,17.3,33.5,48.1,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Punjabi Assamese South Indian Bengali Hyderabadi Peanut (groundnut),nuts_seeds,183,16.3,74.7,36.1,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
North Indian Punjabi Black pepper,spice,214,15.3,39.9,25.7,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Assamese Maharashtrian Gulab jamun,sweet,530,17.6,39.8,4.5,Sweet,Heating,Sweet,Increases Kapha and Pitta
Hyderabadi North Indian South Indian Rajasthani Paneer,dairy,422,10.1,77.3,10.8,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Punjabi Gulab jamun,sweet,310,6,40,12,Sweet,Heating,Sweet,Increases Kapha and Pitta
Bengali Tea (chai),beverage,1,0.1,0.1,0,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
South Indian Bengali North Indian Black gram,legumes,381,1,22.5,29.9,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Rajasthani North Indian Ghee,dairy,501,5.7,0.7,5.4,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Punjabi Bengali North Indian Coconut oil,oil,157,17.6,58.2,38.2,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Maharashtrian Nigella seed (kalonji),spice,394,0.9,4.1,28.1,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Kashmiri Apple,fruit,52,0.3,14,0.2,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Punjabi Kashmiri Hyderabadi Urad dal,legumes,391,11.1,5.9,25.2,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Rajasthani Kashmiri Maharashtrian Cumin (jeera),spice,583,5.6,79.1,34,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Punjabi Maharashtrian Poha,snack,141,2.6,7.7,18.7,Mixed,Heating,Pungent,Increases Kapha and Pitta
South Indian North Indian Coconut oil,oil,367,11.2,29.2,7.2,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Maharashtrian Assamese Jowar (sorghum),grains,541,8,3.2,1.9,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Gujarati North Indian Bajra (pearl millet),grains,361,16.1,41.5,7.4,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Gujarati Brinjal (eggplant),vegetable,547,2.8,74.5,15.9,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Assamese Assamese Carom seed (ajwain),spice,422,19.8,59.1,15,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Assamese South Indian Rajasthani Paneer,dairy,364,10.1,40.8,24.5,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
South Indian Gujarati Assamese Tender coconut water,beverage,596,6,65.3,18.4,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Gujarati Dry red chilli,spice,132,19.6,46.7,39.8,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Hyderabadi North Indian Ghee,dairy,47,11.9,21.2,32.8,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
South Indian Gujarati South Indian Brinjal (eggplant),vegetable,253,14.4,46.7,8.5,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Hyderabadi Nigella seed (kalonji),spice,409,3,54.5,1.6,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Rajasthani Bengali Curd (yogurt),dairy,132,3.8,35.3,20.9,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Maharashtrian North Indian Bengali Almond,nuts_seeds,442,13.8,32.8,38.7,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Assamese Hyderabadi Nigella seed (kalonji),spice,502,17.5,58.9,3.1,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Maharashtrian Dry red chilli,spice,161,10.4,44.9,49.9,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Punjabi Maharashtrian Nigella seed (kalonji),spice,509,10.5,25.1,8.7,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
South Indian Maharashtrian Punjabi Idli,snack,565,6.8,28.3,38.6,Mixed,Heating,Pungent,Increases Kapha and Pitta
South Indian South Indian Hyderabadi Peanut (groundnut),nuts_seeds,290,12.2,15.4,12.3,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Assamese North Indian Assamese Peanut (groundnut),nuts_seeds,591,6,75.3,49.1,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Rajasthani Punjabi Fennel seed,spice,315,14.1,55.2,24.5,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
North Indian Kashmiri Gujarati Nutmeg,spice,511,7,74.7,39.8,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Hyderabadi Gujarati Assamese Tender coconut water,beverage,300,5.8,45.9,27.2,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
North Indian North Indian Bengali Almond,nuts_seeds,424,16.4,76.4,40.2,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Assamese Assamese Peanut (groundnut),nuts_seeds,317,0.8,76.4,4,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Maharashtrian Gujarati Rice (white),grains,472,13.1,59.8,10.7,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Maharashtrian Kashmiri Kheer (rice pudding),sweet,571,5.4,45,13.6,Sweet,Heating,Sweet,Increases Kapha and Pitta
Assamese Hyderabadi Hyderabadi Peanut (groundnut),nuts_seeds,131,12.3,46.9,12.1,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Punjabi Sesame seed (til),nuts_seeds,563,4.5,18.6,5,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Maharashtrian South Indian Pineapple,fruit,358,14.3,8,38.5,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Hyderabadi Gujarati Jowar (sorghum),grains,25,19.3,78.2,7.9,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Gujarati Bengali Tea (chai),beverage,507,9.5,16,48.2,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Assamese Rajasthani Rajasthani Paneer,dairy,348,5.7,4.7,38.4,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Punjabi Kashmiri Maharashtrian Punjabi Idli,snack,257,10.7,57.8,46.8,Mixed,Heating,Pungent,Increases Kapha and Pitta
Hyderabadi Kashmiri Gujarati Nutmeg,spice,199,8.4,67,46.7,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Rajasthani Hyderabadi Nigella seed (kalonji),spice,57,19.9,31.8,24.8,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Kashmiri North Indian Maharashtrian Punjabi Idli,snack,316,17.5,0.7,28.4,Mixed,Heating,Pungent,Increases Kapha and Pitta
Punjabi Maharashtrian Idli,snack,129,18.6,26.8,22.7,Mixed,Heating,Pungent,Increases Kapha and Pitta
Kashmiri Rajasthani Rajasthani Tamarind,spice,576,10.5,71.1,6.7,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
North Indian Tender coconut water,beverage,536,9.4,15.4,5.6,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Assamese Bengali Dry ginger,spice,186,14.6,51.9,35.9,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Hyderabadi Assamese Bengali Dry ginger,spice,34,14.7,63.3,28.4,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
North Indian Hyderabadi Curry leaf powder,spice,217,3.5,68.5,44.9,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Gujarati Punjabi Ragi (finger millet),grains,457,10.3,6.9,33.5,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Punjabi Gujarati Sesame oil,oil,209,19.6,38.2,46.8,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
South Indian Poha,snack,26,5.2,18.8,37.7,Mixed,Heating,Pungent,Increases Kapha and Pitta
Hyderabadi Hyderabadi Punjabi Ghee,dairy,357,6,57.8,0.6,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Kashmiri Carrot,vegetable,388,13.9,5,5.9,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Hyderabadi Kashmiri Samosa,snack,334,3.2,54.9,46.2,Mixed,Heating,Pungent,Increases Kapha and Pitta
Maharashtrian Assamese Pineapple,fruit,338,13.8,51.1,47,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Maharashtrian Gujarati Hyderabadi Curry leaf powder,spice,396,12.3,17.5,6.7,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Bengali Gujarati Nutmeg,spice,176,9.1,79.1,18.7,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
South Indian Kashmiri North Indian Maharashtrian Punjabi Idli,snack,582,18.3,60.6,40.1,Mixed,Heating,Pungent,Increases Kapha and Pitta
Bengali South Indian Bengali Hyderabadi Peanut (groundnut),nuts_seeds,243,15.2,54.4,29.8,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Kashmiri Assamese Bajra (pearl millet),grains,103,10.5,42.3,18.1,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Bengali Rajasthani Curd (yogurt),dairy,597,2.2,66.3,45.1,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Assamese South Indian Cumin (jeera),spice,227,11.5,12,16.4,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Hyderabadi Punjabi Assamese South Indian Bengali Hyderabadi Peanut (groundnut),nuts_seeds,552,8.8,54.4,35.8,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Kashmiri Hyderabadi Bengali Almond,nuts_seeds,520,1.8,40.8,40.4,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Assamese Assamese Hyderabadi Nigella seed (kalonji),spice,484,2.6,33.2,28.2,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Bengali Kashmiri Gujarati Assamese Tender coconut water,beverage,592,9.2,64.6,36.2,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Kashmiri Hyderabadi Punjabi Ghee,dairy,425,5.1,0.2,10.9,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Punjabi Rajasthani Dry ginger,spice,94,0.9,27.6,3.2,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Gujarati Assamese Hyderabadi Hyderabadi Peanut (groundnut),nuts_seeds,81,18.7,5.5,46.7,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Kashmiri North Indian Assamese Peanut (groundnut),nuts_seeds,52,5.7,14.4,6.8,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Punjabi North Indian Kashmiri Gujarati Nutmeg,spice,450,7.5,71.3,22.4,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Kashmiri Bengali Mustard oil,oil,406,7.5,54.6,33.1,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Gujarati Turmeric (haldi),spice,312,9.7,67.1,3.3,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
North Indian South Indian Assamese Cashew,nuts_seeds,572,2.7,68.8,5.9,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Bengali Sesame oil,oil,570,7.9,10.2,48.9,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Bengali Assamese South Indian Cumin (jeera),spice,23,15.1,78.3,23.2,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Punjabi Punjabi Rajasthani Dry ginger,spice,577,8.5,30.3,11.5,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Maharashtrian Bottle gourd (lauki),vegetable,491,6.9,22.1,46.9,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Rajasthani North Indian South Indian Rajasthani Paneer,dairy,135,0.6,52.8,30.7,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Kashmiri Rajasthani Rice (brown),grains,36,4.8,5.4,29.7,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
South Indian Kashmiri Samosa,snack,477,12,56.3,2.4,Mixed,Heating,Pungent,Increases Kapha and Pitta
Maharashtrian Gujarati Fenugreek seed,spice,65,8,18.7,10.9,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Hyderabadi Punjabi Maharashtrian Gujarati Jowar (sorghum),grains,77,2.8,79.5,11.7,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
South Indian Hyderabadi Punjabi Assamese South Indian Bengali Hyderabadi Peanut (groundnut),nuts_seeds,346,11.5,61.8,40.9,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Maharashtrian Punjabi Bengali North Indian Coconut oil,oil,262,6,11.5,33,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
South Indian Hyderabadi Cashew,nuts_seeds,246,8.3,22,27.8,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Gujarati Punjabi Bengali Bengali Mustard oil,oil,199,12.5,34.2,24.8,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Maharashtrian Punjabi Maharashtrian Gujarati Jowar (sorghum),grains,372,18.8,53.7,39.3,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Assamese Maharashtrian Clove,spice,346,13.9,32.7,15,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Punjabi Hyderabadi North Indian Ghee,dairy,208,15.1,37.9,42.5,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Punjabi Gujarati Jalebi,sweet,327,17.2,11.5,23.2,Sweet,Heating,Sweet,Increases Kapha and Pitta
Maharashtrian Bengali Rajasthani Kashmiri Hyderabadi Urad dal,legumes,79,11.2,77.4,27.9,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
South Indian Assamese Rajasthani South Indian Brinjal (eggplant),vegetable,157,7.8,20.4,16.5,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Rajasthani Punjabi Maharashtrian Gujarati Jowar (sorghum),grains,100,18.4,67.8,4.6,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Maharashtrian Gujarati Punjabi Ragi (finger millet),grains,215,1,30.2,30.2,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Bengali Punjabi Punjabi Rajasthani Dry ginger,spice,60,17.5,15.1,38.1,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Bengali Bengali South Indian Assamese Kashmiri Hyderabadi Urad dal,legumes,592,4.3,16.7,45.4,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Assamese Assamese North Indian Assamese Peanut (groundnut),nuts_seeds,330,19.1,1.2,46.9,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Maharashtrian Black gram,legumes,140,14.9,60.3,45.7,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Hyderabadi Gujarati Brinjal (eggplant),vegetable,229,7.9,19.1,16.1,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
South Indian Assamese Bengali Dry ginger,spice,309,7.6,42.7,18,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Kashmiri Groundnut oil,oil,287,7.2,70.6,23.3,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
South Indian Hyderabadi Urad dal,legumes,500,15.2,25.6,10.2,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
