Item,Category,Calories_per_100g,Protein_g,Carbs_g,Fat_g,Taste_Rasa,Virya,Vipaka,Dosha_Effects
Kashmiri Peanut (groundnut),nuts_seeds,565,22.37,16.52,49.92,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Kashmiri Tea (chai),beverage,1,0,0,0.11,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Punjabi Curd (yogurt),dairy,60.9,3.69,4.71,3.31,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
North Indian Spinach (palak),vegetable,24.1,2.78,3.65,0.35,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
South Indian Asafoetida (hing),spice,313,0,0.11,0,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Punjabi Lemon water,beverage,5.3,0.01,1.21,0,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
South Indian Spinach (palak),vegetable,24.7,2.95,4.12,0.25,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
South Indian Toor dal (arhar),legumes,354.7,23.57,58.29,3.01,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Assamese Toor dal (arhar),legumes,340.9,24.48,66,2.73,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Gujarati Mustard greens (sarson),vegetable,26.4,3.24,5.49,0.65,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Punjabi Gulab jamun,sweet,303.5,5.86,36.77,11.23,Sweet,Heating,Sweet,Increases Kapha and Pitta
Bengali Tender coconut water,beverage,18,0.62,3.68,0.22,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Punjabi Paratha (plain),snack,323.3,6.9,47.66,9.85,Mixed,Heating,Pungent,Increases Kapha and Pitta
Maharashtrian Paratha (plain),snack,299.3,7.9,41.97,10.27,Mixed,Heating,Pungent,Increases Kapha and Pitta
Maharashtrian Kidney bean (rajma),legumes,335.8,24.95,61.04,1.05,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Maharashtrian Almond,nuts_seeds,560.5,20.3,20.79,47.96,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Kashmiri Groundnut oil,oil,855.8,0.12,0.71,96,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
North Indian Barley,grains,339.3,12.97,70.58,2.4,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Maharashtrian Chickpea (kabuli),legumes,367.7,16.7,66.66,6.75,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Punjabi Bottle gourd (lauki),vegetable,13.6,0.56,3.54,0.23,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Assamese Pineapple,fruit,51.6,0.7,12.86,0.02,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Bengali Dosa,snack,156.4,4.14,26.95,4.05,Mixed,Heating,Pungent,Increases Kapha and Pitta
Bengali Samosa,snack,255.2,6.11,30.97,15.16,Mixed,Heating,Pungent,Increases Kapha and Pitta
Kashmiri Tomato,vegetable,20.3,0.85,3.66,0.3,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
North Indian Bottle gourd (lauki),vegetable,14.5,0.78,3.69,0.16,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Assamese Idli,snack,59.7,2.61,12.8,0.45,Mixed,Heating,Pungent,Increases Kapha and Pitta
South Indian Kidney bean (rajma),legumes,350.8,26.25,64.98,0.86,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
South Indian Tender coconut water,beverage,18.8,0.71,4.3,0.12,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Punjabi Urad dal,legumes,353.4,24.21,58.1,1.74,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Maharashtrian Guava,fruit,68.6,2.61,12.86,1.07,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Kashmiri Gulab jamun,sweet,320,7.04,39.26,12.18,Sweet,Heating,Sweet,Increases Kapha and Pitta
Maharashtrian Custard apple,fruit,95.2,1.58,22.87,0.63,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Bengali Chickpea (kabuli),legumes,375.1,19.28,59.37,6.08,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
South Indian Sesame seed (til),nuts_seeds,603.8,16.25,23.69,47.26,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Gujarati Flaxseed,nuts_seeds,565.9,16.07,27.93,43.31,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Gujarati Poha,snack,140.2,2.59,27.07,0.49,Mixed,Heating,Pungent,Increases Kapha and Pitta
Assamese Samosa,snack,243,4.94,31.82,13.51,Mixed,Heating,Pungent,Increases Kapha and Pitta
Bengali Gulab jamun,sweet,294.2,6.34,40.59,11.53,Sweet,Heating,Sweet,Increases Kapha and Pitta
Gujarati Pineapple,fruit,46.8,0.59,13.51,0.09,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
South Indian Custard apple,fruit,102.7,1.28,20.89,0.53,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
South Indian Coriander (dhaniya),spice,22.9,2.14,3.58,0.54,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Hyderabadi Barley,grains,331.8,13.94,72.64,2.48,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Assamese Chapati,snack,111.9,3.73,20.68,1.86,Mixed,Heating,Pungent,Increases Kapha and Pitta
Bengali Coffee,beverage,2.1,0.23,0.1,0.07,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Assamese Chickpea (kabuli),legumes,362.4,21.19,58.52,6.76,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Bengali Moong dal,legumes,346.3,21.25,58.45,1.33,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Hyderabadi Chana dal,legumes,375.1,19.9,58.39,3.9,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
North Indian Coconut oil,oil,871.8,0,0,105.32,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Hyderabadi Bottle gourd (lauki),vegetable,14.6,0.64,2.92,0.2,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Hyderabadi Ragi (finger millet),grains,327.9,6.62,78.49,1.59,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Maharashtrian Moong dal,legumes,343.2,24.05,58.73,1.2,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Rajasthani Tea (chai),beverage,1,0.03,0,0,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Punjabi Okra (bhindi),vegetable,36,2,7.21,0.26,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Maharashtrian Okra (bhindi),vegetable,35.3,2.04,7.53,0.14,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Gujarati Paneer,dairy,274.3,18.88,1.65,21.72,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Hyderabadi Poha,snack,136.8,2.49,30.21,0.32,Mixed,Heating,Pungent,Increases Kapha and Pitta
North Indian Kidney bean (rajma),legumes,367.6,22.68,66.25,0.82,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Punjabi Lassi (sweet),beverage,116.1,3.36,14.71,5.15,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Gujarati Ladoo (besan),sweet,441.2,6.68,49.93,28.75,Sweet,Heating,Sweet,Increases Kapha and Pitta
Rajasthani Paneer,dairy,287.9,18.94,1.22,20.97,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Gujarati Peanut (groundnut),nuts_seeds,584.4,23.69,15.85,43.45,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Gujarati Tender coconut water,beverage,19.4,0.76,3.46,0.36,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
South Indian Coffee,beverage,1.9,0,0.11,0.1,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Gujarati Lemon water,beverage,5.4,0.05,1.84,0,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Bengali Black gram,legumes,338.1,23.56,58.19,1.33,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
North Indian Okra (bhindi),vegetable,35.4,2.11,7.19,0.24,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Gujarati Banana (ripe),fruit,91.2,1.13,22.24,0.23,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Hyderabadi Carrot,vegetable,40.9,1.02,10.33,0.16,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Rajasthani Lychee,fruit,68.5,0.52,18.17,0.23,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Gujarati Lychee,fruit,64.8,0.69,15.68,0.52,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Kashmiri Ladoo (besan),sweet,419.9,7.19,49.86,25.83,Sweet,Heating,Sweet,Increases Kapha and Pitta
South Indian Bitter gourd (karela),vegetable,17.1,0.87,4.5,0.15,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Rajasthani Rice (white),grains,119.9,2.61,30.52,0.39,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Maharashtrian Lemon water,beverage,4.9,0.07,1.14,0.21,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Bengali Toor dal (arhar),legumes,356.7,22.76,61.59,2.85,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Hyderabadi Peanut (groundnut),nuts_seeds,559.7,25.39,16.03,49.07,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Bengali Pakora,snack,279.8,7.03,31.32,13.92,Mixed,Heating,Pungent,Increases Kapha and Pitta
Gujarati Ragi (finger millet),grains,329.3,6.13,75.96,1.54,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
South Indian Cashew,nuts_seeds,580.6,13.98,33.98,43.47,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Assamese Almond,nuts_seeds,611.1,19.44,22.39,46.22,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Hyderabadi Groundnut oil,oil,856.4,0.19,0,101.52,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Bengali Mango (ripe),fruit,62.6,0.85,15.14,0.44,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
South Indian Groundnut oil,oil,990.2,0,0.1,107.35,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Rajasthani Papaya,fruit,45.4,0.62,11.42,0.19,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Punjabi Groundnut oil,oil,956.2,0,0.15,94.72,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Bengali Brinjal (eggplant),vegetable,24.9,1.03,6.16,0.24,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Maharashtrian Black gram,legumes,368.5,22.8,55.18,1.6,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Kashmiri Bajra (pearl millet),grains,382.5,10.46,69.4,5.25,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Punjabi Spinach (palak),vegetable,22.7,3.22,3.52,0.41,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Punjabi Cumin (jeera),spice,371.8,17.82,41.29,20.05,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Maharashtrian Pineapple,fruit,54,0.42,12.23,0,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Gujarati Fenugreek seed,spice,312.7,20.57,63.71,6.85,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Gujarati Chana dal,legumes,347.6,24.78,63.53,4.4,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Assamese Black pepper,spice,223.1,12.31,58.66,2.92,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Assamese Coconut oil,oil,937.6,0.24,0.69,103.95,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
South Indian Fenugreek seed,spice,332.6,24.57,60.64,6.53,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Gujarati Milk (cow),dairy,60.3,3.18,4.62,3.24,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Hyderabadi Papaya,fruit,39.4,0.49,10.35,0.19,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Hyderabadi Black gram,legumes,344.1,24.45,59.09,1.34,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Rajasthani Pakora,snack,256.6,7.53,28.23,13.78,Mixed,Heating,Pungent,Increases Kapha and Pitta
Maharashtrian Coriander (dhaniya),spice,23.6,1.94,3.75,0.37,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
North Indian Kheer (rice pudding),sweet,135.8,3.28,18.09,5.15,Sweet,Heating,Sweet,Increases Kapha and Pitta
Hyderabadi Flaxseed,nuts_seeds,533.5,19.11,29.29,46.23,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Maharashtrian Ragi (finger millet),grains,330.1,7.05,72.53,1.56,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Assamese Rice (white),grains,130.3,2.71,26.82,0.23,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Maharashtrian Cashew,nuts_seeds,514.2,20.75,27.95,41.77,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Rajasthani Chana dal,legumes,347.1,22.5,58.94,4.89,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
North Indian Coriander (dhaniya),spice,22.2,2.15,3.28,0.71,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Maharashtrian Mustard seed,spice,477.8,26.75,29.17,37.25,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Assamese Potato,vegetable,76.3,1.98,17.04,0.09,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Punjabi Paneer,dairy,277.8,21.54,0.92,18.81,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Maharashtrian Sesame oil,oil,880.1,0.26,0,111.47,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Maharashtrian Turmeric (haldi),spice,338.2,9.27,69.39,3.68,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
South Indian Lemon water,beverage,4.9,0.08,1.01,0,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Gujarati Turmeric (haldi),spice,301.9,8.75,67.24,3.12,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Maharashtrian Lychee,fruit,66.8,0.64,17.34,0.48,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Kashmiri Idli,snack,52.2,2.47,13.1,0.28,Mixed,Heating,Pungent,Increases Kapha and Pitta
Assamese Custard apple,fruit,101.9,1.45,22.03,0.59,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Bengali Paratha (plain),snack,308.4,7.55,46.45,9.36,Mixed,Heating,Pungent,Increases Kapha and Pitta
Gujarati Moong dal,legumes,349.9,21.29,57.61,1.31,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Hyderabadi Kheer (rice pudding),sweet,134.9,3.52,21.31,5.21,Sweet,Heating,Sweet,Increases Kapha and Pitta
North Indian Fenugreek seed,spice,305.4,22.42,62.22,6.46,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
South Indian Apple,fruit,58,0.34,14.16,0.17,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Hyderabadi Paratha (plain),snack,302,7.41,46.91,10.67,Mixed,Heating,Pungent,Increases Kapha and Pitta
Kashmiri Toor dal (arhar),legumes,336.2,19.66,51.61,2.9,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Hyderabadi Sesame oil,oil,835.2,0,0.19,117.45,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
North Indian Rice (white),grains,130,2.88,28.14,0.29,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Assamese Papaya,fruit,45,0.47,11.18,0.33,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
South Indian Upma,snack,152.7,4.86,26.72,5.4,Mixed,Heating,Pungent,Increases Kapha and Pitta
Kashmiri Coriander (dhaniya),spice,23.6,1.95,3.71,0.5,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Maharashtrian Ladoo (besan),sweet,453.3,7.27,49.92,26.43,Sweet,Heating,Sweet,Increases Kapha and Pitta
Kashmiri Lemon water,beverage,5.3,0.16,1.31,0,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Gujarati Dosa,snack,159.1,4.29,26.01,3.55,Mixed,Heating,Pungent,Increases Kapha and Pitta
Gujarati Bottle gourd (lauki),vegetable,14,0.65,3.36,0.25,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
North Indian Idli,snack,58.2,2.02,11.51,0.39,Mixed,Heating,Pungent,Increases Kapha and Pitta
Punjabi Carrot,vegetable,38.5,0.96,10.92,0.32,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Rajasthani Brinjal (eggplant),vegetable,24.7,1.15,6.07,0.17,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Assamese Coriander (dhaniya),spice,22.3,2.05,3.51,0.52,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Bengali Flaxseed,nuts_seeds,538.3,18.3,29.66,45.72,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
North Indian Custard apple,fruit,98.5,1.23,19.48,0.69,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Assamese Fenugreek seed,spice,300.9,22.59,53.93,5.59,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Hyderabadi Wheat (atta),grains,335.9,14,69.51,2.05,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Kashmiri Sesame seed (til),nuts_seeds,557.4,18.25,21.41,50.34,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Assamese Sesame oil,oil,883.3,0.06,0.06,93.19,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Hyderabadi Tender coconut water,beverage,20.1,0.68,3.69,0.11,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Kashmiri Spinach (palak),vegetable,22.5,2.69,3.51,0.57,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Gujarati Spinach (palak),vegetable,21.4,2.53,4.34,0.38,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Kashmiri Pakora,snack,261,7.58,28.91,15.79,Mixed,Heating,Pungent,Increases Kapha and Pitta
Maharashtrian Jowar (sorghum),grains,340.2,9.99,81.32,3.16,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Maharashtrian Asafoetida (hing),spice,331.9,0.03,0.65,0.16,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Kashmiri Guava,fruit,68.1,2.44,14.39,0.93,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Hyderabadi Paneer,dairy,291.7,18.5,1.02,21.07,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
South Indian Lassi (sweet),beverage,111.9,3.23,16.08,4.77,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Hyderabadi Mustard oil,oil,837.7,0.05,0.59,105.03,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Bengali Upma,snack,165.9,4.23,24.7,6.3,Mixed,Heating,Pungent,Increases Kapha and Pitta
Gujarati Barley,grains,348.3,12.25,78.82,2.39,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Rajasthani Sesame seed (til),nuts_seeds,586.1,20.77,22.59,52.93,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Kashmiri Custard apple,fruit,94.3,1.43,25.11,0.65,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Rajasthani Mustard seed,spice,521.7,28.34,27.48,34.07,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Gujarati Sesame oil,oil,837.8,0,1.03,92.28,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Kashmiri Moong dal,legumes,343.2,23.47,59.07,1.48,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Assamese Wheat (atta),grains,341.1,12.58,71.28,2.55,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Rajasthani Barley,grains,349.6,14.11,75.15,2.42,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
South Indian Ragi (finger millet),grains,338.9,7.99,72.78,1.36,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Hyderabadi Milk (cow),dairy,61.2,3.03,4.74,3.44,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Rajasthani Bitter gourd (karela),vegetable,18.1,1,4.15,0.37,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Hyderabadi Guava,fruit,68.8,3.14,14.48,0.82,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
North Indian Cumin (jeera),spice,389.1,18.34,47.62,23.35,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Gujarati Jowar (sorghum),grains,326.7,9.38,71.1,3.1,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Maharashtrian Sesame seed (til),nuts_seeds,556.4,18.53,25.85,51.07,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
North Indian Pomegranate,fruit,78,1.76,20.36,1.14,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Hyderabadi Turmeric (haldi),spice,309.9,9.71,63.94,3.45,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Hyderabadi Curd (yogurt),dairy,60.6,3.62,4.26,3.2,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Rajasthani Ragi (finger millet),grains,339.8,7.08,79.46,1.46,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Maharashtrian Lassi (sweet),beverage,121.3,3.76,13.72,4.38,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
North Indian Peanut (groundnut),nuts_seeds,523.7,28.41,15.57,58.01,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Rajasthani Ladoo (besan),sweet,417.9,7.1,54.63,28.51,Sweet,Heating,Sweet,Increases Kapha and Pitta
Maharashtrian Rice (brown),grains,122.4,2.85,24.41,0.96,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Gujarati Tea (chai),beverage,1,0.04,0,0,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Kashmiri Lassi (sweet),beverage,119,3.37,15.63,5.33,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Kashmiri Bottle gourd (lauki),vegetable,14.1,0.75,2.83,0.18,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Kashmiri Jowar (sorghum),grains,317.2,8.85,71.64,3.27,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Bengali Mustard seed,spice,546.4,27.42,26.37,40.9,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Gujarati Almond,nuts_seeds,614.3,22.19,21.31,46.55,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Assamese Tomato,vegetable,17.7,1.01,4.84,0.35,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Assamese Rice (brown),grains,108.3,2.37,23.19,0.72,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Maharashtrian Mustard greens (sarson),vegetable,27.4,2.87,4.47,0.54,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Assamese Gulab jamun,sweet,318,5.74,37.19,9.59,Sweet,Heating,Sweet,Increases Kapha and Pitta
Kashmiri Mustard greens (sarson),vegetable,27,3.31,5.53,0.65,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Punjabi Potato,vegetable,74.7,2.08,15.98,0.13,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Punjabi Coconut oil,oil,926.2,0.12,0,98.57,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Hyderabadi Cumin (jeera),spice,358.5,16.62,43.6,22.87,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Assamese Lemon water,beverage,5.2,0.02,2.05,0,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Maharashtrian Black pepper,spice,254.7,9.78,54.69,3.5,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Rajasthani Lemon water,beverage,5.2,0.07,1.33,0.05,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Kashmiri Almond,nuts_seeds,533.8,20.3,22.63,45.52,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Gujarati Brinjal (eggplant),vegetable,25.4,0.86,6.23,0.2,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Punjabi Bitter gourd (karela),vegetable,15.6,1.12,3.63,0.12,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
